Date,Time,Voltage[V],Current[A],Power[W],Energy[u],Phase[rad],Iwave,Uwave,Event
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-2.9664,258.8649,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-4.0757,170.3594,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-6.1643,67.1296,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-6.7011,-30.1185,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-4.6050,-126.1927,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-2.3655,-213.5996,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-1.2458,-277.7993,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-0.2099,-305.5796,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,0.9523,-316.5790,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,2.0741,-305.7486,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,2.9399,-259.5004,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,4.0393,-169.8461,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,6.1657,-66.2751,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,6.7820,30.9636,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,4.6810,124.4805,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,2.3684,208.3190,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,1.2235,277.6053,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,0.1809,309.3796,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-0.9732,313.3048,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-2.0853,307.8896,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-2.9445,261.9137,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-4.0305,173.2486,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-6.1144,68.0906,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-6.7199,-28.3280,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-4.6801,-124.3960,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-2.4158,-209.5147,NORMAL
2026-04-01,15:16:52.257,226.45,3.6061,137.21,0.0003,4.5160,-1.2642,-275.7898,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,-0.2334,-312.0778,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,0.9256,-314.7697,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,2.0477,-306.5061,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,3.0248,-251.4809,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,3.9859,-172.9731,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,6.1128,-69.5023,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,6.8043,27.7302,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,4.7572,121.3066,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,2.1922,215.6404,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,1.2540,275.3891,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,0.2182,312.8385,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,-0.9260,314.8918,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,-2.0574,309.8492,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,-3.0332,253.4748,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,-3.9908,175.2738,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,-6.0662,69.5336,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,-6.7457,-27.3107,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,-4.7490,-120.5209,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,-2.2363,-218.7550,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,-1.2961,-275.2952,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,-0.2657,-309.9838,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,0.8897,-312.1999,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,2.0181,-306.8535,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,3.0047,-253.8191,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,3.9531,-176.8201,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,6.0657,-71.6715,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,6.8330,26.1526,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,4.8312,118.5520,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,2.2387,213.8343,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,1.2784,273.9148,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5135,0.2518,308.5814,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,-0.9006,313.9778,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,-2.0231,309.4422,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,-3.0093,256.2513,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,-4.1504,164.5311,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,-6.0095,73.5245,NORMAL
2026-04-01,15:16:52.257,226.67,3.6227,136.71,0.0003,4.5160,-6.7663,-25.2824,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-2.6774,282.2223,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-3.6210,201.4545,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-5.4999,98.1183,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-6.8571,-4.4542,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-5.7526,-81.0275,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-3.0794,-185.1776,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-1.5374,-263.9358,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-0.5513,-301.6356,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,0.5927,-312.3877,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,1.7322,-313.5709,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,2.6553,-282.2035,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,3.5841,-201.1540,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,5.4954,-98.6003,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,6.9406,4.3509,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,5.5506,92.8252,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,3.1138,180.0410,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,1.5184,261.4755,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,0.5461,302.5997,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-0.5901,313.7963,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-1.7343,310.4720,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-2.6489,283.7185,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-3.5829,204.1903,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-5.4312,100.6787,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-6.8506,-1.7717,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-5.5162,-90.3429,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-3.1455,-180.2695,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-1.5693,-262.4365,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,-0.5848,-302.2804,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,0.5493,-314.7979,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,1.6970,-311.9432,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,2.6243,-283.5995,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,3.5609,-202.3498,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,5.4302,-101.3956,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,6.9247,2.0910,NORMAL
2026-04-01,15:16:52.257,227.57,3.6802,139.03,0.0003,4.5135,5.6099,89.7638,NORMAL
